home,away,home_goal,away_goal,home_shots,away_shots,home_possession,away_possession
Newcastle United,Manchester City,2,1,6,8,0.23,0.77
AFC Bournemouth,Chelsea,4,0,10,10,0.32,0.68
Southampton,Crystal Palace,1,1,10,13,0.58,0.42
Liverpool,Leicester City,1,1,9,5,0.72,0.28
Tottenham Hotspur,Watford,2,1,10,7,0.68,0.32
Tottenham Hotspur,Newcastle United,1,0,13,6,0.71,0.29
Brighton & Hove Albion,Watford,0,0,18,6,0.55,0.45
Burnley,Southampton,1,1,10,8,0.54,0.46
Chelsea,Huddersfield Town,5,0,16,4,0.65,0.35
Crystal Palace,Fulham,2,0,12,8,0.37,0.63
Everton,Wolverhampton Wanderers,1,3,7,7,0.64,0.36
Cardiff City,AFC Bournemouth,2,0,6,8,0.26,0.74
Leicester City,Manchester United,0,1,15,9,0.44,0.56
Manchester City,Arsenal,3,1,16,3,0.58,0.42
West Ham United,Liverpool,1,1,10,10,0.26,0.74
Everton,Manchester City,0,2,2,9,0.38,0.62
Fulham,Manchester United,0,3,11,12,0.51,0.49
Crystal Palace,West Ham United,1,1,16,5,0.57,0.43
Huddersfield Town,Arsenal,1,2,14,9,0.54,0.46
Liverpool,AFC Bournemouth,3,0,16,8,0.65,0.35
Southampton,Cardiff City,1,2,13,7,0.66,0.34
Watford,Everton,1,0,6,9,0.44,0.56
Brighton & Hove Albion,Burnley,1,3,11,8,0.68,0.32
Tottenham Hotspur,Leicester City,3,1,8,19,0.53,0.47
Manchester City,Chelsea,6,0,15,8,0.55,0.45
Wolverhampton Wanderers,Newcastle United,1,1,15,6,0.59,0.41
Cardiff City,Watford,1,5,12,12,0.35,0.65
West Ham United,Fulham,3,1,17,8,0.55,0.45
Burnley,Tottenham Hotspur,2,1,8,12,0.3,0.7
AFC Bournemouth,Wolverhampton Wanderers,1,1,9,8,0.44,0.56
Newcastle United,Huddersfield Town,2,0,24,2,0.54,0.46
Leicester City,Crystal Palace,1,4,16,8,0.65,0.35
Arsenal,Southampton,2,0,9,8,0.62,0.38
Manchester United,Liverpool,0,0,5,6,0.35,0.65
Cardiff City,Everton,0,3,6,10,0.32,0.68
Huddersfield Town,Wolverhampton Wanderers,1,0,13,6,0.49,0.51
Leicester City,Brighton & Hove Albion,2,1,13,13,0.49,0.51
Newcastle United,Burnley,2,0,13,9,0.54,0.46
Arsenal,AFC Bournemouth,5,1,12,9,0.64,0.36
