,home,away,home_goal,away_goal,home_shots,away_shots,home_possession,away_possession,outcome,win_prob,draw_prob,lose_prob,RPS,BS
330,Southampton,Wolverhampton Wanderers,3,1,11,11,0.3,0.7,1.0,0.23437186476309774,0.2581156454220954,0.507512489814807,0.42187768439218043,0.30345968506534193
331,Manchester United,West Ham United,2,1,10,11,0.42,0.58,1.0,0.45112467636889403,0.20857431244349664,0.34030101118760914,0.2085344495532303,0.15352404763924596
332,Crystal Palace,Manchester City,1,3,6,14,0.27,0.73,-1.0,0.059662974920279284,0.17051162608140435,0.7698253989983161,0.028270008761311066,0.028538077383848965
333,Liverpool,Chelsea,2,0,11,6,0.61,0.39,1.0,0.567136351072843,0.2510481425349364,0.1818155063922205,0.11021390846359633,0.09448432893247811
334,Watford,Arsenal,0,1,7,12,0.34,0.66,-1.0,0.27284016481684226,0.2034537135002964,0.5237061216828616,0.15064880702983147,0.11423034253224114
335,Brighton & Hove Albion,Cardiff City,0,2,11,7,0.63,0.37,-1.0,0.5253964704871414,0.21977493750449392,0.25482859200836483,0.41566093924429104,0.2932076338812286
336,Manchester City,Tottenham Hotspur,1,0,11,8,0.6,0.4,1.0,0.674213538575109,0.16244455836619673,0.16334190305869403,0.06640869787129393,0.05306854342845883
337,AFC Bournemouth,Fulham,0,1,12,12,0.49,0.51,-1.0,0.6760962103897219,0.16459892387545205,0.15930486573482622,0.581937197240241,0.39698906674047957
338,Huddersfield Town,Watford,1,2,9,11,0.45,0.55,-1.0,0.26025903411388235,0.2877871436769789,0.4519538222091384,0.1840446889145316,0.15030360596493927
339,West Ham United,Leicester City,2,2,9,11,0.49,0.51,0.0,0.3913978608999057,0.24973073647329386,0.3588714026268006,0.1409904845701745,0.28162831231108504
340,Wolverhampton Wanderers,Brighton & Hove Albion,0,0,20,5,0.68,0.32,0.0,0.40972944143334505,0.2647987330709504,0.3254718254957049,0.13690506218439363,0.271443675754289
341,Newcastle United,Southampton,3,1,11,11,0.43,0.57,1.0,0.5808099690448951,0.2935591407498639,0.12563089020524082,0.09575170131295155,0.09256012391456718
342,Everton,Manchester United,4,0,12,7,0.48,0.52,1.0,0.46304280743766807,0.22007803127026612,0.3168791612920656,0.1943677147527922,0.1457232564511268
343,Arsenal,Crystal Palace,2,3,11,13,0.72,0.28,-1.0,0.6957152942801369,0.17927720060121588,0.12500750511864703,0.6248158183969958,0.4272573171498002
344,Cardiff City,Liverpool,0,2,5,15,0.23,0.77,-1.0,0.043831358513405624,0.1787653150750744,0.7774033264115195,0.025735233540893507,0.027809168318559275
345,Chelsea,Burnley,2,2,18,6,0.76,0.24,0.0,0.7984459191695905,0.11733919265047037,0.08421488817993925,0.32230401661486596,0.4745660446868851
346,Watford,Southampton,1,1,8,8,0.62,0.38,0.0,0.5468178652014642,0.2362560992766837,0.2169260355218519,0.1730333412953573,0.30979047616092714
347,Tottenham Hotspur,Brighton & Hove Albion,1,0,18,6,0.78,0.22,1.0,0.6305312025420096,0.17722071433857287,0.19224808311941752,0.08673325887907203,0.06829123311627269
348,Wolverhampton Wanderers,Arsenal,3,1,9,6,0.29,0.71,1.0,0.24497721726507918,0.2135807998836588,0.5414419828512621,0.4316094116213449,0.3029451937738778
349,Manchester United,Manchester City,0,2,8,9,0.36,0.64,-1.0,0.15065264665666464,0.15245666564871774,0.6968906876946177,0.057285737575449844,0.04593817001720818
350,Liverpool,Huddersfield Town,5,0,20,4,0.7,0.3,1.0,0.8464356154434898,0.15155225796642585,0.002012126590084262,0.011793034428817139,0.015518051917452121
351,Tottenham Hotspur,West Ham United,0,1,9,13,0.63,0.37,-1.0,0.5812804425043738,0.19868743482861798,0.22003212266700803,0.4731184212547067,0.32857117975606337
352,Crystal Palace,Everton,0,0,6,12,0.36,0.64,0.0,0.2326496231647536,0.3110357741325754,0.456314602702671,0.13117443189919922,0.24567352277449936
353,Fulham,Cardiff City,1,0,8,11,0.73,0.27,1.0,0.3521990369582583,0.21747926885186913,0.4303216941898728,0.302411424104125,0.21737336019619793
354,Southampton,AFC Bournemouth,3,3,17,10,0.44,0.56,0.0,0.2370067143272302,0.21683944656771093,0.5461538391050588,0.1772280993026919,0.32259888368591766
355,Watford,Wolverhampton Wanderers,1,2,7,8,0.56,0.44,-1.0,0.37885882464937554,0.27992989814210106,0.3412112772085235,0.28876829514596564,0.21863244605525942
356,Brighton & Hove Albion,Newcastle United,1,1,8,5,0.49,0.51,0.0,0.4310287986799264,0.2845816663635553,0.2843895349565181,0.13333161644212263,0.25949554166246414
357,Leicester City,Arsenal,3,0,19,5,0.67,0.33,1.0,0.31421316653398423,0.19485433985100714,0.4909324936150089,0.35565914712119767,0.2497621693337225
358,Burnley,Manchester City,0,1,3,12,0.3,0.7,-1.0,0.051122331931425825,0.0902458329745544,0.8586318350940199,0.01129922543549565,0.010247587080087482
359,Manchester United,Chelsea,1,1,8,11,0.51,0.49,0.0,0.2902293925306496,0.1913731722869643,0.5183974351823863,0.17648450054619305,0.3356154491965446
360,Everton,Burnley,2,0,16,6,0.6,0.4,1.0,0.6691184493116136,0.18267541103434737,0.1482061396540387,0.06572383020855188,0.05493932207122381
361,AFC Bournemouth,Tottenham Hotspur,1,0,14,9,0.53,0.47,1.0,0.32726229014644836,0.1964917379133544,0.47624597194019713,0.33969312602413226,0.23933175170549162
362,West Ham United,Southampton,3,0,13,5,0.56,0.44,1.0,0.6162317794987258,0.2161391629703321,0.16762905753094212,0.08768877399771328,0.07403122858831411
363,Wolverhampton Wanderers,Fulham,1,0,16,6,0.39,0.61,1.0,0.6254982403618851,0.20933695306974887,0.16516480656836632,0.08376549065040509,0.07045098040711217
364,Cardiff City,Crystal Palace,2,3,15,15,0.39,0.61,-1.0,0.3619303485392643,0.28854636279232865,0.34952328866840715,0.277056764589259,0.21245751088639994
365,Newcastle United,Liverpool,2,3,11,11,0.3,0.7,-1.0,0.03887459358252315,0.2789527634763876,0.6821726429410891,0.051262731460629346,0.0601133690574574
366,Chelsea,Watford,3,0,16,14,0.58,0.42,1.0,0.6249690861315708,0.2032002567297191,0.17183065713870999,0.08508698054485508,0.07048810180824462
367,Huddersfield Town,Manchester United,1,1,6,17,0.35,0.65,0.0,0.252959724318595,0.23258262938765006,0.5144576462937552,0.1643276459787249,0.3058615708916743
368,Arsenal,Brighton & Hove Albion,1,1,14,10,0.7,0.3,0.0,0.6634140058715278,0.15048442311941373,0.1861015710090583,0.23737596895927354,0.3988095510937674
369,Manchester City,Leicester City,1,0,16,5,0.61,0.39,1.0,0.7527563362128085,0.14880548623122475,0.09843817755596697,0.03540975204172693,0.030987525605321697
370,Brighton & Hove Albion,Manchester City,1,4,6,13,0.23,0.77,-1.0,0.11227557172747797,0.14376769858328564,0.7439567296892363,0.039081980139081415,0.03294437047803244
371,Burnley,Arsenal,1,3,12,11,0.39,0.61,-1.0,0.14164726946736242,0.12988171273282878,0.7284710177998089,0.04689596856111566,0.036887065474881436
372,Crystal Palace,AFC Bournemouth,5,3,16,15,0.45,0.55,1.0,0.27223341074409185,0.26647522096610204,0.46129136828980577,0.3712169674479297,0.27114765942826397
373,Fulham,Newcastle United,0,4,11,13,0.68,0.32,-1.0,0.18191574107726613,0.2722393691379119,0.545844889784822,0.11967510049312574,0.10448815836495322
374,Leicester City,Chelsea,0,0,8,12,0.46,0.54,0.0,0.2854570085767528,0.22960164392555532,0.4849413474976919,0.15832690712923275,0.30338914710022413
375,Liverpool,Wolverhampton Wanderers,2,0,11,7,0.59,0.41,1.0,0.7572277882501252,0.21125297718690664,0.03151923456296813,0.02996590447268074,0.03485320977189772
376,Manchester United,Cardiff City,0,2,21,11,0.73,0.27,-1.0,0.5881241140529351,0.18786645780529648,0.22400942814176836,0.4740256705717075,0.32778171570390807
377,Southampton,Huddersfield Town,1,1,7,8,0.53,0.47,0.0,0.40673276910643485,0.2728823042466267,0.3203849266469388,0.13403902334377632,0.26559273005508266
378,Tottenham Hotspur,Everton,2,2,9,13,0.55,0.45,0.0,0.5478289021584083,0.2191836423747696,0.23298745546682234,0.17719983022249564,0.321357948260041
379,Watford,West Ham United,1,4,11,15,0.48,0.52,-1.0,0.37550597136492364,0.25906013126441374,0.3654338973706623,0.27183943656845083,0.20359700824921242
